ID,RECORD_ID,DATE_STATION_LINK,DATE,YEAR,MONTH,TIME_24H,STATION_ID,DEPTH_M,CLASS,DISSOLVED_OXYGEN_MG_L,TEMPERATURE_C,SALINITY_PSU,CHLA_UG_L,SECCHI_DEPTH_F,PH,BOD5_MG_L,TSS_MG_L,AMMONIA-AMMONIUM_MG_L,NITRITE_NITRATE_MG_L,PARTICULATE_N_MG_L,ORTHOPHOSPHATE_MG_L,TOTAL_DISSOLVED_ N_MG_L,TOTAL_DISSOLVED_P_MG_L,PARTICULATE_P_MG_L,DOC_MG_L,PARTICULATE_C_MG_L,DISSOLVED_SILICA_MG_L,BIOGENIC_SILICA_MG_L,SAMPLING SURVEY RUN,INVESTIGATION,STATION_ID_B,LISS_STUDY_AREA,CLOUD_COVER,SEA_STATE,FIELD_NOTES,WEATHER,PREV_24_H_RAIN,PREV_48_H_RAIN,TIDE_TIME_NR,TIDE_RANGE_FT_NR,TIDE_TYPE_NR,TIDE_TIME_KP,TIDE_RANGE_FT_KP,TIDE_TYPE_KP,EDIT NOTES,,,
25125,8-405_1/6/2022_7:40_1.8,1/6/2022_8-405,1/6/2022,2022,January,7:40,8-405,1.8,Bottom,10.50,4.933,25.03,ND,3.5,7.90,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,8-405_B,Little Neck Bay,90,1 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25126,8-405_1/6/2022_7:41_0.7,1/6/2022_8-405,1/6/2022,2022,January,7:41,8-405,0.7,Surface,10.37,4.971,25.03,4.750,3.5,7.89,ND,22.46,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,8-405_S,Little Neck Bay,90,1 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25127,8-403_1/6/2022_7:46_1.1,1/6/2022_8-403,1/6/2022,2022,January,7:46,8-403,1.1,Bottom,10.16,4.562,25.04,ND,3.0,7.87,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,8-403_B,Little Neck Bay,100,1 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25128,8-403_1/6/2022_7:46_0.6,1/6/2022_8-403,1/6/2022,2022,January,7:46,8-403,0.6,Surface,10.12,4.567,25.05,4.394,3.0,7.86,< 3,14.56,0.061,0.3050,0.1270,0.1246,0.63,0.1524,0.0125,1.87,0.7810,2.53,0.204,Jan-06,18296,8-403_S,Little Neck Bay,100,1 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,"BOD < MDL and RL; Duplicate values for TSS differ by more than 5%, difference was 21% of average; 
Duplicate values for Diss. Silica differ by more than 10%, difference was 13%",,,
25129,A2M_1/6/2022_7:59_28.7,1/6/2022_A2M,1/6/2022,2022,January,7:59,A2M,28.7,Bottom,10.04,6.071,25.76,ND,ND,7.93,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,A2M_B,Upper East River,100,1-2 ft,"Strong currents, tall waves, and heavy winds prevented staff from accurately measuring secchi disk depth","Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25130,A2M_1/6/2022_8:00_14.5,1/6/2022_A2M,1/6/2022,2022,January,8:00,A2M,14.5,Middle,10.09,6.069,25.68,ND,ND,7.93,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,A2M_M,Upper East River,100,1-2 ft,"Strong currents, tall waves, and heavy winds prevented staff from accurately measuring secchi disk depth","Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25131,A2M_1/6/2022_8:01_0.5,1/6/2022_A2M,1/6/2022,2022,January,8:01,A2M,0.5,Surface,10.12,6.011,25.18,3.335,ND,7.90,< 3,13.69,0.080,0.2720,0.0927,0.1151,0.61,0.1370,0.0141,2.14,0.5970,2.14,0.143,Jan-06,18296,A2M_S,Upper East River,100,1-2 ft,"Strong currents, tall waves, and heavy winds prevented staff from accurately measuring secchi disk depth","Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,BOD < MDL and RL,,,
25132,A1_1/6/2022_8:08_12.3,1/6/2022_A1,1/6/2022,2022,January,8:08,A1,12.3,Bottom,10.00,6.143,25.24,ND,5.5,7.90,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,A1_B,Upper East River,100,1 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25133,A1_1/6/2022_8:09_6.6,1/6/2022_A1,1/6/2022,2022,January,8:09,A1,6.6,Middle,9.99,6.126,25.11,ND,5.5,7.89,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,A1_M,Upper East River,100,1 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25134,A1_1/6/2022_8:10_0.5,1/6/2022_A1,1/6/2022,2022,January,8:10,A1,0.5,Surface,10.03,6.098,24.96,2.695,5.5,7.88,ND,7.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,A1_S,Upper East River,100,1 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25135,E-12_1/6/2022_8:21_1.2,1/6/2022_E-12,1/6/2022,2022,January,8:21,E-12,1.2,Bottom,10.70,3.985,24.61,ND,3.5,7.94,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,E-12_B,Eastchester Bay,90,1 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25136,E-12_1/6/2022_8:22_0.5,1/6/2022_E-12,1/6/2022,2022,January,8:22,E-12,0.5,Surface,10.64,3.977,24.61,10.307,3.5,7.94,< 3,6.72,0.030,0.1280,0.1560,0.0827,0.47,0.1032,0.0185,1.97,1.0300,1.94,0.126,Jan-06,18296,E-12_S,Eastchester Bay,90,1 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,"BOD < MDL and RL; Duplicate values for TSS differs by more than 5%, difference was 54% of average",,,
25137,DI1_1/6/2022_8:48_6.9,1/6/2022_DI1,1/6/2022,2022,January,8:48,DI1,6.9,Bottom,10.53,5.345,26.14,ND,7.0,8.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,DI1_B,Westchester Shoreline,90,Ripples,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25138,DI1_1/6/2022_8:49_3.8,1/6/2022_DI1,1/6/2022,2022,January,8:49,DI1,3.8,Middle,10.38,5.385,26.14,ND,7.0,8.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,DI1_M,Westchester Shoreline,90,Ripples,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25139,DI1_1/6/2022_8:50_0.5,1/6/2022_DI1,1/6/2022,2022,January,8:50,DI1,0.5,Surface,10.43,5.246,26.13,4.886,7.0,8.00,ND,10.47,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,DI1_S,Westchester Shoreline,90,Ripples,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25140,DI2_1/6/2022_8:53_6.6,1/6/2022_DI2,1/6/2022,2022,January,8:53,DI2,6.6,Bottom,10.32,5.585,26.30,ND,7.5,8.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,DI2_B,Westchester Shoreline,100,1 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25141,DI2_1/6/2022_8:54_3.5,1/6/2022_DI2,1/6/2022,2022,January,8:54,DI2,3.5,Middle,10.36,5.363,26.20,ND,7.5,8.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,DI2_M,Westchester Shoreline,100,1 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25142,DI2_1/6/2022_8:55_0.5,1/6/2022_DI2,1/6/2022,2022,January,8:55,DI2,0.5,Surface,10.39,5.339,26.18,4.956,7.5,7.99,< 3,5.40,< 0.009,0.1340,0.0849,0.0935,0.38,0.1118,0.0090,1.77,0.5920,1.82,0.0748,Jan-06,18296,DI2_S,Westchester Shoreline,100,1 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,BOD < MDL and RL; NH3 < MDL & RL,,,
25143,H-A3_1/6/2022_9:04_7.7,1/6/2022_H-A3,1/6/2022,2022,January,9:04,H-A3,7.7,Bottom,10.33,5.657,26.57,ND,6.5,8.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,H-A3_B,Westchester Shoreline,100,1-2 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25144,H-A3_1/6/2022_9:05_3.9,1/6/2022_H-A3,1/6/2022,2022,January,9:05,H-A3,3.9,Middle,10.32,5.659,26.57,ND,6.5,7.99,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,H-A3_M,Westchester Shoreline,100,1-2 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25145,H-A3_1/6/2022_9:06_0.5,1/6/2022_H-A3,1/6/2022,2022,January,9:06,H-A3,0.5,Surface,10.35,5.662,26.57,5.086,6.5,7.99,< 3,4.52,< 0.009,0.0871,0.0929,0.0880,0.34,0.1089,0.0080,1.95,0.5220,1.98,0.0641,Jan-06,18296,H-A3_S,Westchester Shoreline,100,1-2 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,BOD < MDL and RL; TSS estimated (residual < 2.5mg); NH3 < MDL & RL,,,
25146,H-B_1/6/2022_9:12_12.4,1/6/2022_H-B,1/6/2022,2022,January,9:12,H-B,12.4,Bottom,10.10,6.201,26.57,ND,ND,7.99,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,H-B_B,Westchester Shoreline,75,3-4 ft,"Strong currents, tall waves, and heavy winds prevented staff from accurately measuring secchi disk depth","Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25147,H-B_1/6/2022_9:13_6.4,1/6/2022_H-B,1/6/2022,2022,January,9:13,H-B,6.4,Middle,10.25,6.092,26.52,ND,ND,8.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,H-B_M,Westchester Shoreline,75,3-4 ft,"Strong currents, tall waves, and heavy winds prevented staff from accurately measuring secchi disk depth","Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25148,H-B_1/6/2022_9:14_0.6,1/6/2022_H-B,1/6/2022,2022,January,9:14,H-B,0.6,Surface,10.32,6.081,26.51,4.302,ND,8.00,ND,7.60,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,H-B_S,Westchester Shoreline,75,3-4 ft,"Strong currents, tall waves, and heavy winds prevented staff from accurately measuring secchi disk depth","Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25149,B1S_1/6/2022_9:23_13.7,1/6/2022_B1S,1/6/2022,2022,January,9:23,B1S,13.7,Bottom,10.06,6.395,26.86,ND,ND,7.98,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,B1S_B,Mid-LIS Waters,60,1-2 ft,"Strong currents, tall waves, and heavy winds prevented staff from accurately measuring secchi disk depth","Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25150,B1S_1/6/2022_9:24_7.0,1/6/2022_B1S,1/6/2022,2022,January,9:24,B1S,7.0,Middle,10.10,6.388,26.87,ND,ND,7.98,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,B1S_M,Mid-LIS Waters,60,1-2 ft,"Strong currents, tall waves, and heavy winds prevented staff from accurately measuring secchi disk depth","Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25151,B1S_1/6/2022_9:24_0.5,1/6/2022_B1S,1/6/2022,2022,January,9:24,B1S,0.5,Surface,10.17,6.377,26.87,3.961,ND,7.98,< 3,4.84,< 0.009,0.1090,0.0770,0.0898,0.30,0.1046,0.0071,1.88,0.4410,2.23,0.0641,Jan-06,18296,B1S_S,Mid-LIS Waters,60,1-2 ft,"Strong currents, tall waves, and heavy winds prevented staff from accurately measuring secchi disk depth","Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,BOD < MDL and RL; TSS estimated (residual < 2.5mg); NH3 < MDL & RL; PN < RL,,,
25152,B2_1/6/2022_9:30_17.3,1/6/2022_B2,1/6/2022,2022,January,9:30,B2,17.3,Bottom,10.04,6.444,26.88,ND,7.0,7.98,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,B2_B,Mid-LIS Waters,30,3-4 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25153,B2_1/6/2022_9:31_8.9,1/6/2022_B2,1/6/2022,2022,January,9:31,B2,8.9,Middle,10.14,6.388,26.85,ND,7.0,7.98,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,B2_M,Mid-LIS Waters,30,3-4 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25154,B2_1/6/2022_9:32_0.5,1/6/2022_B2,1/6/2022,2022,January,9:32,B2,0.5,Surface,10.24,6.382,26.85,4.081,7.0,7.98,ND,8.76,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,B2_S,Mid-LIS Waters,30,3-4 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25155,B3M_1/6/2022_9:38_17.1,1/6/2022_B3M,1/6/2022,2022,January,9:38,B3M,17.1,Bottom,10.26,6.142,26.59,ND,ND,8.02,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,B3M_B,Mid-LIS Waters,60,3-4 ft,"Strong currents, tall waves, and heavy winds prevented staff from accurately measuring secchi disk depth","Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25156,B3M_1/6/2022_9:39_8.7,1/6/2022_B3M,1/6/2022,2022,January,9:39,B3M,8.7,Middle,10.30,6.132,26.59,ND,ND,8.01,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,B3M_M,Mid-LIS Waters,60,3-4 ft,"Strong currents, tall waves, and heavy winds prevented staff from accurately measuring secchi disk depth","Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25157,B3M_1/6/2022_9:39_0.5,1/6/2022_B3M,1/6/2022,2022,January,9:39,B3M,0.5,Surface,10.38,6.129,26.59,4.914,ND,8.01,< 3,3.04,< 0.009,0.1160,0.0807,0.0860,0.31,0.0996,0.0091,1.81,0.4560,1.91,0.0628,Jan-06,18296,B3M_S,Mid-LIS Waters,60,3-4 ft,"Strong currents, tall waves, and heavy winds prevented staff from accurately measuring secchi disk depth","Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,BOD < MDL and RL; TSS estimated (residual < 2.5mg); NH3 < MDL & RL,,,
25158,B4_1/6/2022_9:45_6.2,1/6/2022_B4,1/6/2022,2022,January,9:45,B4,6.2,Bottom,10.56,5.197,26.20,ND,ND,8.01,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,B4_B,Mid-LIS Waters,70,4-5 ft,"Strong currents, tall waves, and heavy winds prevented staff from accurately measuring secchi disk depth","Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25159,B4_1/6/2022_9:45_3.3,1/6/2022_B4,1/6/2022,2022,January,9:45,B4,3.3,Middle,10.60,5.292,26.13,ND,ND,8.02,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,B4_M,Mid-LIS Waters,70,4-5 ft,"Strong currents, tall waves, and heavy winds prevented staff from accurately measuring secchi disk depth","Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25160,B4_1/6/2022_9:46_0.5,1/6/2022_B4,1/6/2022,2022,January,9:46,B4,0.5,Surface,10.63,5.288,26.13,5.123,ND,8.02,ND,16.90,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,B4_S,Mid-LIS Waters,70,4-5 ft,"Strong currents, tall waves, and heavy winds prevented staff from accurately measuring secchi disk depth","Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25161,H-D_1/6/2022_10:00_3.6,1/6/2022_H-D,1/6/2022,2022,January,10:00,H-D,3.6,Bottom,10.65,4.900,25.60,ND,6.0,8.01,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,H-D_B,Hempstead Harbor,90,Ripples,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25162,H-D_1/6/2022_10:01_2.0,1/6/2022_H-D,1/6/2022,2022,January,10:01,H-D,2.0,Middle,10.60,4.895,25.56,ND,6.0,7.99,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,H-D_M,Hempstead Harbor,90,Ripples,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25163,H-D_1/6/2022_10:01_0.4,1/6/2022_H-D,1/6/2022,2022,January,10:01,H-D,0.4,Surface,10.66,4.854,25.52,4.931,6.0,7.98,< 3,5.70,< 0.009,0.2320,0.1240,0.0847,0.46,0.1037,0.0119,1.90,0.6720,1.81,0.0900,Jan-06,18296,H-D_S,Hempstead Harbor,90,Ripples,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,BOD < MDL and RL; NH3 < MDL & RL,,,
25164,H-C_1/6/2022_10:07_7.8,1/6/2022_H-C,1/6/2022,2022,January,10:07,H-C,7.8,Bottom,10.37,5.580,26.20,ND,8.0,8.03,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,H-C_B,Hempstead Harbor,90,1 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25165,H-C_1/6/2022_10:08_4.3,1/6/2022_H-C,1/6/2022,2022,January,10:08,H-C,4.3,Middle,10.44,5.571,26.20,ND,8.0,8.02,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,H-C_M,Hempstead Harbor,90,1 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
